account_key,bank_key,account_number,entity_id,laundering_sent_count,laundering_received_count,laundering_participations
6421,32192,801CE1260,2AA208273E0,0,1,1
6582,16610,806D90D00,2AA1E1ABF30,1,0,1
6616,78794,81745C790,2AA1F690C70,0,1,1
6626,84217,80BCAA510,2AA1E6175B0,0,1,1
6637,86494,813F76A10,2AA1F46A280,1,1,2
6684,106947,83A559AA0,2AA1E6FE330,0,1,1
6705,97142,8167913A0,2AA1F5ABC60,1,0,1
6708,85977,80DA203A0,2AA1F113120,1,0,1
6743,109257,815135AB0,2AA20696A00,0,1,1
6991,34838,801CDC3E0,2AA1CB73F60,0,7,7
7041,117067,81D00B2F0,2AA1E5D9910,0,1,1
7071,97994,812C51B80,2AA2069B780,1,1,2
7159,51051,812317210,2AA1E901BD0,1,0,1
7191,114453,8084B96A0,2AA1EDD37F0,0,1,1
7211,40952,82F5E86A0,2AA205D76E0,0,1,1
7252,82394,80644BF30,2AA1E36A310,0,1,1
7294,64473,81BE5B3B0,2AA1F6C3630,0,1,1
7320,33922,84947EFC0,2AA205F6EE0,0,1,1
7336,4671,821780640,2AA1F236200,0,1,1
7347,89885,82AC683C0,2AA1E9642F0,0,1,1
7402,78590,800380D50,2AA205D77A0,0,1,1
7472,10336,847C57C60,2AA1F319EA0,0,2,2
7561,84395,800E96070,2AA2030BC50,11,9,20
7678,36710,82DC54510,2AA1FE01630,0,1,1
7689,23625,84C7D5290,2AA2069D400,1,0,1
7768,67702,814485AA0,2AA1E66FD10,1,0,1
7771,92903,800C39420,2AA1CB28240,0,1,1
7808,7850,848965AB0,2AA2065A960,0,1,1
7821,108354,81A966FB0,2AA1F2A4AA0,0,1,1
7862,4326,806EC94C0,2AA20760C40,1,0,1
7890,102914,83D8FA2C0,2AA1FEABF50,0,1,1
7905,42858,8252CB940,2AA1D73EBD0,1,0,1
7946,110393,8247F11D0,2AA1E9F0A30,0,1,1
7974,98172,819B002E0,2AA1E837BB0,1,1,2
8013,103898,801C1DBE0,2AA1CB676A0,1,1,2
8050,110393,805D711F0,2AA1ED130D0,0,1,1
8074,110986,824BF3AF0,2AA1DA37850,9,10,19
8162,116464,804B1CB10,2AA1EA30650,1,1,2
8238,20040,822F9DFA0,2AA1F8E7EE0,1,0,1
8293,13991,80EB96BB0,2AA20670640,0,1,1
8311,97845,803C4B3B0,2AA1CE53B20,1,1,2
8330,77476,806368740,2AA206DEF90,0,1,1
8381,52696,81D49F5C0,2AA1E50FEF0,1,0,1
8428,118304,8025F8CD0,2AA1E30A330,0,1,1
8450,45158,84D751E50,2AA1D177600,0,1,1
8630,59195,80142E080,2AA202FB070,1,1,2
8635,79253,81CFACB00,2AA1F78D190,0,1,1
8670,64332,816F7EA90,2AA1F65CB90,0,1,1
8672,104698,802ABC990,2AA206B3910,0,1,1
8679,31532,816B26890,2AA1E932A10,0,1,1
8791,120496,845243A30,2AA2069B3C0,0,1,1
8805,75345,8301004B0,2AA1FE37810,0,1,1
8807,60579,8153387B0,2AA1E8688B0,0,1,1
8838,98670,824C0A830,2AA1F942B60,16,14,30
8892,38572,801731BC0,2AA1E92E610,12,5,17
8910,101687,81F70F2C0,2AA1E9B0450,1,0,1
9085,51558,8069AE870,2AA1EAEA030,1,1,2
9191,85402,805A00900,2AA1CAA5360,1,0,1
9354,106040,8403556B0,2AA201C6120,0,1,1
9359,47216,80D07F7B0,2AA1F20F8E0,0,1,1
9369,97845,804ACB2B0,2AA204F1750,1,1,2
9493,39970,81CAEE4D0,2AA207FE140,1,1,2
9536,113629,8029FEAE0,2AA206114C0,1,1,2
9542,90833,81E7FF260,2AA202FEC50,0,10,10
9571,91211,8051C4560,2AA1E574970,1,1,2
9618,106947,82A759570,2AA1E3263D0,0,1,1
9619,98720,81E2D1A70,2AA1EA9E4D0,0,1,1
9630,107833,84829AA70,2AA205215D0,1,0,1
9685,72662,838DAA880,2AA1FFA5190,1,0,1
9838,30864,811800630,2AA1EE2A950,0,1,1
9895,75134,816AC3FC0,2AA2082A6C0,0,1,1
9907,28462,80D70DD40,2AA208100E0,1,0,1
10087,20308,80C2F9BF0,2AA1EB69BD0,0,1,1
10128,63852,801672DF0,2AA1CBF6B00,0,1,1
10145,85402,801B80A00,2AA2080C0A0,1,1,2
10309,55100,80A6C2320,2AA1E43B4D0,1,1,2
10323,6179,83886A920,2AA1FF28B90,1,0,1
10331,119099,81A816B20,2AA1F6D7FD0,0,1,1
10367,84395,800496D30,2AA205B3A40,0,1,1
10462,114514,810059340,2AA1F0E33E0,1,0,1
10641,54096,81484BEF0,2AA2084FC70,6,0,6
10724,52195,827898D00,2AA2054D730,0,1,1
11035,93831,83A9D30D0,2AA200203E0,0,1,1
11042,16898,80F7A1C50,2AA1F09B800,1,0,1
11046,112692,81EB0C9D0,2AA1E8A7190,1,0,1
11067,20040,822C1DD60,2AA1F9EA2A0,0,1,1
11069,40598,833EAEBE0,2AA1FEB47D0,0,1,1
11088,48444,81C4F3DE0,2AA1F79E930,1,0,1
11119,16121,801525470,2AA1EA540D0,1,1,2
11222,19668,83BC10180,2AA1D9F0250,0,1,1
11350,24531,81E04F5A0,2AA1E90B9B0,1,0,1
11415,71772,83EAC2930,2AA1DA1C030,1,0,1
11418,94787,8207B5F30,2AA1D060E80,1,1,2
11457,85015,80DA206C0,2AA1EF4C980,0,1,1
11494,83340,822250DC0,2AA1D67F6D0,0,1,1
11650,90833,80FD7F070,2AA207760E0,0,1,1
11668,112198,80F2971F0,2AA207D0EC0,0,1,1
11669,3873,80788B770,2AA20764080,0,1,1
11681,55838,814A63D70,2AA1F3AADB0,1,1,2
11916,50630,80D5A7D30,2AA1F00F160,0,1,1
11952,22186,82E79A140,2AA1FD2B400,0,1,1
12043,75454,82A796CD0,2AA1D7FBFF0,1,0,1
12090,68461,84709FBE0,2AA203879B0,2,0,2
12142,20680,84BA935F0,2AA206BB9D0,1,0,1
12200,87856,8081B1F00,2AA1E1679F0,0,1,1
12218,107581,80F954B00,2AA1F1DAE40,0,1,1
12265,13833,82FE71210,2AA1FDC4890,0,1,1
12329,1509,800080B20,2AA1E100EA0,1,1,2
12353,108922,823CFA4B0,2AA1EECAA00,0,1,1
12416,10757,8143AA2C0,2AA1F4DF3A0,1,1,2
12446,10450,818B52DC0,2AA1F5B8C00,1,1,2
12592,18226,8070B2060,2AA1E6C9FB0,1,0,1
12657,9797,81A73CDF0,2AA1EB0C2F0,0,1,1
12766,116712,80752D510,2AA1E6AF790,0,1,1
12771,80310,83001B810,2AA205A97C0,0,1,1
12772,2600,82181C390,2AA20686EA0,0,1,1
12818,70754,81BE38020,2AA20444830,0,1,1
12990,7051,807586A40,2AA1E603C70,0,1,1
13132,103661,8120433E0,2AA1F075D40,0,1,1
13136,116103,81319F060,2AA1E34B730,9,6,15
13281,76001,80CFEC310,2AA1F1EE280,1,0,1
13310,44293,80AEB8910,2AA1EF27270,1,1,2
13377,27958,80DCE04A0,2AA205AF080,0,9,9
13582,90467,800103460,2AA207137C0,1,0,1
13757,24625,83D577510,2AA2017EDA0,0,1,1
13780,2958,8164FD290,2AA1F581080,1,0,1
13834,74236,80BB07F20,2AA20191DA0,1,1,2
13844,112157,807F404A0,2AA1EF918A0,0,1,1
13849,15634,8003B0CA0,2AA1E16DD70,1,0,1
13929,104402,81EABC930,2AA1D438610,1,0,1
13930,55705,8034F4C30,2AA1CF104A0,0,1,1
14115,84679,84F9C57E0,2AA1DA5A790,1,0,1
14119,64457,80538E460,2AA1CCB8940,1,0,1
14148,87957,80FD630F0,2AA1F3C0070,1,0,1
14149,47216,80D8FF370,2AA1F1E7220,0,1,1
14153,85101,810A076F0,2AA1E4C6910,1,0,1
14175,61676,80A3349F0,2AA1E5C4CB0,1,1,2
14219,88809,81C463000,2AA204F9DF0,1,1,2
14337,62425,80A5B9DA0,2AA1F112920,1,1,2
14358,101975,81AE4BBA0,2AA1F6E61D0,1,0,1
14374,92769,8240544A0,2AA1D214E40,14,0,14
14478,12424,81BDF0E40,2AA1E5A75B0,0,1,1
14481,99893,844340CC0,2AA204839D0,1,0,1
14513,54352,80ED6E550,2AA1E72B9D0,0,1,1
14526,121716,81B538950,2AA1F853AE0,1,1,2
14546,28572,80395E0D0,2AA1CD42C60,1,0,1
14588,37226,823546060,2AA1F9370C0,0,1,1
14594,7473,851118AE0,2AA1DEF88B0,0,1,1
14626,101975,81D0CBBF0,2AA1F83E320,0,1,1
14709,48841,81B680C80,2AA1F696EF0,1,0,1
14723,78590,801F00480,2AA1CA777A0,1,0,1
14773,31633,812911F10,2AA1F425370,0,12,12
14780,89314,80C2AE890,2AA1E8E17B0,0,1,1
14826,85090,8438CE2A0,2AA2030A3B0,0,1,1
14836,113446,806926BA0,2AA1E12C4D0,0,1,1
14838,88387,804F1A3A0,2AA1D16BE80,1,1,2
14868,28572,803F5E030,2AA20620700,0,1,1
14998,105201,849C064D0,2AA205E3730,0,1,1
15005,95453,8488EFC50,2AA203253D0,0,1,1
15041,18992,800A808D0,2AA1EF0EA10,1,0,1
15159,53716,80BB2CDF0,2AA1E3EE650,1,0,1
15162,57548,8034AAF70,2AA1E135430,1,0,1
15164,52428,8504D8A70,2AA1E050830,0,1,1
15223,71891,84E211B00,2AA1D747D30,0,1,1
15235,10451,821607B90,2AA1EFB6460,0,1,1
15251,51855,827709890,2AA1F924BE0,0,1,1
15403,102026,805E53930,2AA1E556AF0,0,1,1
15449,13100,81462FD40,2AA1F39EF70,1,0,1
15461,48452,848E5BAC0,2AA204AE1B0,1,0,1
15517,81559,840F209D0,2AA202D2150,0,1,1
15522,60391,820077650,2AA1F1B6D80,0,1,1
15526,54352,82B0EE450,2AA1E419D50,1,0,1
15569,79728,81BC7B560,2AA20644DC0,1,1,2
15596,5789,8360C9970,2AA207E8640,0,1,1
15621,63852,8012F2B70,2AA20841E70,1,1,2
15627,79817,825669770,2AA1FA81BD0,1,1,2
15660,119793,818BF61F0,2AA1D9C5C50,7,0,7
15750,84843,8125D6590,2AA1E51E410,1,1,2
15815,114823,805E0B620,2AA1EB61510,0,1,1
15817,18607,84127D6A0,2AA2055B8B0,0,1,1
15866,112022,8324495B0,2AA1EAB54D0,0,1,1
15991,27818,80F36ADD0,2AA1EF8DC20,0,1,1
16116,15895,8144C0970,2AA1F45AD00,1,0,1
16117,51489,8141C7EF0,2AA1F3F96D0,1,0,1
16188,58001,8335F3680,2AA1E246EB0,1,0,1
16231,27717,801287B10,2AA2059E880,1,1,2
16422,104698,8071BD140,2AA202FC670,1,1,2
16427,112592,8359D3440,2AA1FED5A30,0,1,1
16432,37798,81E389D40,2AA1F6BE930,0,1,1
16498,102664,801BF7F50,2AA1E377370,1,0,1
16551,54204,8335ED2E0,2AA202F25D0,0,1,1
16562,17133,80517ADE0,2AA1E5E4EF0,0,1,1
16627,80293,80EB15900,2AA206E0990,1,1,2
16676,35302,8009DB400,2AA1CB97480,1,0,1
16862,81566,8002CA4C0,2AA1E8F7590,0,1,1
17098,64332,816D7F2F0,2AA1F55A980,0,1,1
17142,60003,805B65B80,2AA2056AEE0,14,5,19
17159,50167,81017D800,2AA1F37F420,1,1,2
17207,77073,81455D490,2AA20801100,0,1,1
17222,22237,8327E0390,2AA1F1A19C0,0,1,1
17411,99089,80C7369C0,2AA1ECD0290,0,1,1
17451,15821,81538A550,2AA20831E40,0,1,1
17464,22729,82A822CD0,2AA205DFA70,1,0,1
17497,29877,818D8EED0,2AA1D83E070,0,1,1
17499,45158,82B0D0750,2AA1D1765E0,1,0,1
17502,8404,82505DBD0,2AA1CE5F300,1,0,1
17538,3798,84F7DA260,2AA2062C6A0,0,1,1
17550,77354,81D7DE660,2AA1F7C7210,0,1,1
17586,79341,83E544170,2AA202446D0,0,1,1
17636,71165,80B6FF170,2AA1D051900,1,0,1
17697,119327,80B55B780,2AA1E696EF0,1,0,1
17772,74943,8031BF820,2AA1E91FAD0,1,1,2
17982,12424,81C0F11D0,2AA1EA08EF0,0,1,1
18003,85529,80F6989D0,2AA1EF6BBE0,1,1,2
18130,61900,814011970,2AA1D7F73B0,0,1,1
18228,60579,82D2B9D10,2AA1EDF89D0,0,1,1
18355,41489,80779A3B0,2AA206DFAF0,0,1,1
18404,86347,818495A30,2AA1D373ED0,1,1,2
18501,56587,81D756E50,2AA1F7B2970,1,0,1
18544,116285,81F70B660,2AA1EE7EFC0,0,1,1
18560,36272,83E2F86E0,2AA201FA630,0,1,1
18565,12436,811A29560,2AA1F291F40,1,1,2
18610,75504,81C10F170,2AA1E4F1790,0,1,1
18628,116697,8028AB5F0,2AA1CDD05C0,1,0,1
18642,17581,8019BEC80,2AA1EDE0010,8,13,21
18689,18516,8092D8580,2AA1E1A44D0,0,1,1
18807,28717,83A2E2220,2AA200EDD70,0,1,1
18947,81751,850B3C6C0,2AA1DF42970,1,0,1
19069,75042,818F9A3E0,2AA1D4F04B0,1,0,1
19423,32565,804B0F140,2AA206B06E0,0,10,10
19430,94408,82D2C9C40,2AA1EC109F0,0,1,1
19466,27655,844C04DC0,2AA1D38EA30,1,0,1
19563,77746,812E5B460,2AA1EA22210,0,1,1
19568,74075,8066012E0,2AA1E4B5510,0,1,1
19581,82273,80C886CE0,2AA1E4D3AF0,1,0,1
19628,111565,827005B70,2AA1E54F310,0,1,1
19654,96280,80B6456F0,2AA1E868A90,1,0,1
19686,52159,845BE1780,2AA203253D0,0,1,1
19793,97333,802E3FD10,2AA1CDF8B60,1,1,2
19904,26817,80040AB50,2AA1EDAB9F0,1,0,1
19922,31532,800F273B0,2AA1E1C30F0,1,1,2
19956,14843,81C4A67C0,2AA1E7C5D10,0,11,11
19981,105448,82D88CCC0,2AA1FB20DF0,1,0,1
20135,97142,8165106F0,2AA1F63E7B0,0,1,1
20180,31290,805A17E70,2AA1D199D00,1,0,1
20253,111326,800EBD600,2AA1CB58B60,1,1,2
20273,23444,800524810,2AA2068B3E0,1,2,3
20288,26072,80AD01E90,2AA1EF33CE0,1,1,2
20357,121711,80BF63320,2AA20691BA0,1,0,1
20437,111698,83F2BA7B0,2AA1CDCF760,1,0,1
20563,1005,8104EFED0,2AA1D6E1950,1,1,2
20618,107087,81D0110E0,2AA1E4EA130,0,1,1
20671,2547,8010C3A70,2AA1E817C90,1,0,1
20677,41489,80169A5F0,2AA205D0B40,0,2,2
20690,65434,812537370,2AA1EA8CBF0,1,0,1
20696,74075,8000815F0,2AA1E0F5660,1,0,1
20728,10132,80E22A280,2AA2050A7D0,0,1,1
20757,33222,814FFDC80,2AA1D564110,1,0,1
20804,75859,8024DD090,2AA206B41B0,1,1,2
20829,73089,81A2B46A0,2AA1F5F0DF0,1,0,1
20836,102087,8366F0120,2AA1F011800,0,1,1
20952,24617,800F96640,2AA1F9A2480,1,0,1
20974,74314,806005AC0,2AA1F2BFE60,0,1,1
21071,17783,8084A3950,2AA1E69E190,1,1,2
21076,92165,820FBED50,2AA1D660CD0,1,1,2
21096,79056,800381160,2AA1FE08DF0,0,1,1
21113,120785,84D6EB6E0,2AA1EAC5750,0,1,1
21139,115190,80BF216E0,2AA1CD7CEE0,0,1,1
21178,31433,80694B370,2AA1EAC3870,1,1,2
21229,82248,81A841400,2AA1EE534D0,1,1,2
21258,69385,84BAD6E80,2AA206B9D90,1,0,1
21298,62625,80CB53B10,2AA1E6C99B0,2,5,7
21319,84079,80BCB0C90,2AA1EA3C310,1,0,1
21324,58213,84FE58190,2AA1DD69ED0,1,0,1
21494,7470,806BBDC40,2AA1EE8E660,0,1,1
21533,43222,80ECD8350,2AA205CEDA0,1,0,1
21564,24861,813E611D0,2AA1F39F9F0,0,1,1
21579,59338,81171C050,2AA202B88F0,1,0,1
21588,120857,84175F7D0,2AA201C0E80,1,0,1
21602,93284,803886F50,2AA1E446190,0,1,1
21624,112941,80A5AA560,2AA1ECCADD0,1,0,1
21666,97662,812470760,2AA1EA39AD0,0,1,1
21686,110702,81C19B6F0,2AA1EE1B6F0,0,7,7
21725,45703,8018E73F0,2AA1E1E6510,0,1,1
21765,71777,847939180,2AA2032D4D0,0,1,1
21788,108312,8321F9280,2AA1FD606C0,1,0,1
21934,122074,80D38B020,2AA1D233800,0,1,1
21955,3694,81F7EE6B0,2AA1F33DD30,0,1,1
21998,76527,826927830,2AA1D855C10,1,0,1
22048,40598,833EAF4C0,2AA1FEC0150,1,0,1
22059,77605,8073DCFC0,2AA1D25D900,1,2,3
22082,29750,80F3655D0,2AA1F21CA40,0,1,1
22126,87597,809AA2BE0,2AA20699780,1,1,2
22150,89270,80282C9E0,2AA1E6468B0,0,1,1
22171,2861,80A4AB1E0,2AA1E8298B0,1,0,1
22180,92425,812447E60,2AA1D508450,1,0,1
22232,41578,83AF896F0,2AA1DFB8BD0,1,0,1
22271,34372,80CD3B780,2AA1EFBD3E0,1,0,1
22323,63962,84305F310,2AA205CEC00,0,1,1
22349,92305,8011C0F10,2AA1E260F10,1,0,1
22380,1509,800681120,2AA1E8E5E50,0,1,1
22423,86604,81C5F1C20,2AA1CBE7AC0,1,0,1
22456,42301,8113FF730,2AA1EF21E70,1,1,2
22474,51807,834502E30,2AA1FEA3CE0,1,0,1
22712,15312,80C011FF0,2AA1E185810,0,1,1
22727,82949,822EFB9F0,2AA1F9003C0,2,6,8
22751,81975,8447C4480,2AA203E2710,0,1,1
22778,24486,81AA16800,2AA206E8530,1,1,2
22791,31073,850D61580,2AA1EED6140,1,0,1
22793,43468,82FA3CD00,2AA1EBEC7D0,1,0,1
22797,79056,800081300,2AA1E10D950,2,3,5
22989,76721,82A8FAEC0,2AA1FC3DFD0,0,1,1
23045,36572,8165A4640,2AA1CE996C0,1,1,2
23085,18922,8149E0CD0,2AA207F03C0,1,0,1
23146,7547,8507C9EE1,2AA1D892CD0,1,0,1
23221,88387,815C1BBF0,2AA20748740,1,0,1
23233,27046,83EF69970,2AA1E690130,1,0,1
23377,116697,80262B090,2AA1CDD0320,1,1,2
23445,116464,80AF1D420,2AA1E478D50,1,0,1
23484,76681,8160BB9B0,2AA1F663AB0,0,1,1
23552,110246,8037BA2C0,2AA1E1A6E30,1,1,2
23610,4794,8120F83D0,2AA1F2E3A40,0,1,1
23697,107314,8196CC9E0,2AA1F67B5F0,0,1,1
23724,114953,807110270,2AA1EEAAA00,1,1,2
23793,79728,80D9FAD80,2AA200A2290,2,0,2
23833,96769,80A071280,2AA1D13F860,1,1,2
23850,83110,802FB1C10,2AA2064DB60,1,0,1
23888,41864,826A3F410,2AA1FA41D60,1,0,1
24071,24617,801D96540,2AA2055B730,4,3,7
24121,46578,81AE391D0,2AA1F6AB570,1,1,2
24169,48841,8195815E0,2AA1F54ED80,1,1,2
24265,80845,810F09A70,2AA1F168E00,1,0,1
24269,1509,8005810F0,2AA1E103BA0,1,0,1
24332,76536,84AD73300,2AA20684C00,1,0,1
24366,97142,817390D10,2AA1F692DF0,1,0,1
24413,27676,83F365990,2AA1ECA3090,0,1,1
24433,88852,81AC31FA0,2AA1EE8EE60,1,0,1
24513,89187,8027288B0,2AA207CC020,1,1,2
24546,87628,8137DDDB0,2AA1F49F2E0,1,0,1
24586,19781,83B243540,2AA2012F5D0,1,0,1
24655,23574,8514039D0,2AA207172A0,0,1,1
24807,50678,813D01170,2AA1D1F44A0,0,1,1
24909,38505,81D3B5290,2AA1F70C930,1,0,1
25035,61971,848AB3EB0,2AA1F36BC70,0,1,1
25037,85608,80FA293B0,2AA1F211C20,1,0,1
25057,19024,810F4A1B0,2AA1F1B97A0,1,0,1
25070,93451,848BD9C30,2AA1D0EBC80,1,0,1
25140,97994,80C150440,2AA1D53B350,1,0,1
25298,122074,81EA0BD70,2AA206B9670,1,0,1
25321,104698,800A3D9F0,2AA207F4EA0,1,0,1
25336,11890,851173870,2AA1E097ED0,1,0,1
25434,73829,80EF2EA10,2AA1EF93400,1,0,1
25452,67039,83DA21310,2AA201D8350,1,0,1
25555,87951,8093024B0,2AA2070DAF0,1,0,1
25576,55816,84E7E12B0,2AA206297A0,0,1,1
25583,74468,803C309B0,2AA206F4370,0,1,1
25585,116715,84A57A030,2AA206948E0,0,1,1
25690,80030,8100BB3D0,2AA1F33C670,0,1,1
25719,34116,84A520050,2AA20623DE0,1,0,1
25725,68626,8304E45D0,2AA1DD29C30,1,0,1
25768,113287,83699B560,2AA1DE53570,0,1,1
25833,47878,8384DFE70,2AA1EC2A470,0,1,1
25905,85402,817F01980,2AA1CA6E7D0,0,1,1
